"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"HBS08000020:JustPandemic",0.0486376055012897,0.00515594312793739,9.43330915303306,3.97350980048501e-21,0.0385505467664868,0.058762219651772,54135.9025242482,54442.2012033046
"HBS08000022:JustPandemic",0.0410405569851267,0.00597556872340451,6.86805873797136,6.50814258803704e-12,0.0293243876962034,0.0527492916980851,54135.9025242482,54442.2012033046
"HBS08000024:JustPandemic",0.0429133399140407,0.00486677823079117,8.81760743535349,1.16931381039593e-18,0.0334002272266349,0.0524783128439159,54135.9025242482,54442.2012033046
"HBS08000025:JustPandemic",0.0979639427628279,0.0225589903962296,4.34256768774551,1.40827077092105e-05,0.0526762075259297,0.141191972831096,54135.9025242482,54442.2012033046
"HBS08000026:JustPandemic",0.0260834839772658,0.0176069219441348,1.48143349871297,0.138491093651732,-0.00913346670888398,0.0599265389016294,54135.9025242482,54442.2012033046
"HBS08000028:JustPandemic",0.0954967519972294,0.0140402286419392,6.80165219759839,1.03426052996144e-11,0.0675944875247011,0.12265188600091,54135.9025242482,54442.2012033046
"HBS08000029:JustPandemic",0.0379587473421215,0.00580038664972145,6.54417535147323,5.98245704036432e-11,0.0265910754333994,0.0493291854139826,54135.9025242482,54442.2012033046
"HBS08000030:JustPandemic",0.0116253590826869,0.00548435625612187,2.11973083800129,0.0340287507997769,0.000885684939044714,0.0223848399403889,54135.9025242482,54442.2012033046
"HBS08000031:JustPandemic",0.0209362126741359,0.00460137734710087,4.54998820892769,5.36489217677734e-06,0.0119494446530373,0.029987126290637,54135.9025242482,54442.2012033046
"HBS08000032:JustPandemic",0.0325412116596455,0.00535413843369654,6.07776807839814,1.21866837767823e-09,0.0220604373830314,0.0430490930257583,54135.9025242482,54442.2012033046
"CancerTypeCervical:JustPandemic",0.00109326765695108,0.0101026444294336,0.108215988851977,0.913824362167735,-0.018936131255323,0.0206740840559617,54135.9025242482,54442.2012033046
"CancerTypeColorectal:JustPandemic",-0.0012944552697604,0.0036586071085623,-0.353810953554145,0.723480564063129,-0.00847166061654981,0.00587007453806257,54135.9025242482,54442.2012033046
"CancerTypeHead & Neck:JustPandemic",-0.00015453666335718,0.0053007504455915,-0.0291537330314624,0.976741981225081,-0.010586695343134,0.0101927686912097,54135.9025242482,54442.2012033046
"CancerTypeLung:JustPandemic",0.0092870876189097,0.0033591640904969,2.7647019820148,0.00569748219867576,0.00270201004520206,0.0158698875100855,54135.9025242482,54442.2012033046
"CancerTypeLymphoma:JustPandemic",-0.0232403309723233,0.00570203726285114,-4.07579429965048,4.58575434430742e-05,-0.0344706207767999,-0.0121178071197991,54135.9025242482,54442.2012033046
"CancerTypeMelanoma:JustPandemic",-0.0052989234203844,0.00518321899994646,-1.02232288862175,0.306628103587609,-0.0154978085911898,0.00482088167310026,54135.9025242482,54442.2012033046
"CancerTypeOvarian:JustPandemic",-0.0296647466408384,0.00826738929972522,-3.58816375585753,0.000333015114367633,-0.0460138595285366,-0.0136023698307178,54135.9025242482,54442.2012033046
"CancerTypeUpper GI:JustPandemic",0.0267805750661802,0.0038604200907391,6.93721782518567,3.99896996206483e-12,0.0192043678552811,0.0343372421863782,54135.9025242482,54442.2012033046
"CancerTypeUrological:JustPandemic",0.00633375449679985,0.00322010130852497,1.96694261762253,0.0491898265573924,2.34748997365602e-05,0.0126462150348799,54135.9025242482,54442.2012033046
